month,race,count
Jan,All races,181
Jan,White,84
Jan,Black,94
Feb,All races,164
Feb,White,82
Feb,Black,80
Mar,All races,181
Mar,White,85
Mar,Black,92
Apr,All races,194
Apr,White,108
Apr,Black,85
May,All races,234
May,White,109
May,Black,121
Jun,All races,281
Jun,White,124
Jun,Black,151
Jul,All races,248
Jul,White,128
Jul,Black,113
Aug,All races,231
Aug,White,102
Aug,Black,126
Sep,All races,238
Sep,White,110
Sep,Black,117
Oct,All races,251
Oct,White,112
Oct,Black,133
Nov,All races,213
Nov,White,85
Nov,Black,125
Dec,All races,174
Dec,White,88
Dec,Black,83
