year,month,offense,age,age_group,sex,race,weapon
2021,May,Aggravated Assault,33,30-39,Male,White,Unarmed
2021,Apr,Aggravated Assault,52,50 or above,Male,Black or African American,Unarmed
2021,May,Aggravated Assault,34,30-39,Female,Black or African American,Other weapon
2021,Aug,Aggravated Assault,44,40-49,Female,White,Unarmed
2021,Jun,Aggravated Assault,40,40-49,Male,Black or African American,Unarmed
2021,Nov,Aggravated Assault,19,Under 20,Female,Black or African American,Other weapon
2021,Jun,Aggravated Assault,42,40-49,Male,Black or African American,Unarmed
2021,Jan,Robbery,31,30-39,Male,White,Unarmed
2021,Apr,Aggravated Assault,24,20-24,Male,White,Unarmed
2021,Jun,Aggravated Assault,43,40-49,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,38,30-39,Female,White,Unarmed
2021,Oct,Robbery,26,25-29,Male,Black or African American,Other weapon
2021,Apr,Robbery,37,30-39,Female,Black or African American,Unarmed
2021,Dec,Aggravated Assault,43,40-49,Male,White,Firearm-related
2021,Mar,Aggravated Assault,56,50 or above,Male,White,Other weapon
2021,Feb,Aggravated Assault,48,40-49,Male,White,Unarmed
2021,May,Aggravated Assault,33,30-39,Male,Black or African American,Unarmed
2021,Mar,Aggravated Assault,54,50 or above,Male,White,Unarmed
2021,Feb,Robbery,31,30-39,Male,Black or African American,Unarmed
2021,Apr,Aggravated Assault,35,30-39,Female,White,Unarmed
2021,Sep,Rape,52,50 or above,Male,Black or African American,Unarmed
2021,Oct,Aggravated Assault,22,20-24,Female,White,Unarmed
2021,Oct,Aggravated Assault,41,40-49,Male,White,Unarmed
2021,Jun,Robbery,48,40-49,Female,White,Unarmed
2021,Oct,Aggravated Assault,25,25-29,Male,White,Unarmed
2021,Jul,Aggravated Assault,41,40-49,Male,White,Other weapon
2021,May,Aggravated Assault,37,30-39,Male,Black or African American,Other weapon
2021,Feb,Murder and Nonnegligent Manslaughter,27,25-29,Female,Black or African American,Unarmed
2021,Jul,Aggravated Assault,39,30-39,Male,White,Unarmed
2021,Nov,Aggravated Assault,21,20-24,Male,White,Other weapon
2021,Dec,Aggravated Assault,43,40-49,Male,White,Other weapon
2021,Jul,Robbery,23,20-24,Female,White,Unarmed
2021,Jun,Aggravated Assault,28,25-29,Male,White,Unarmed
2021,Sep,Aggravated Assault,69,50 or above,Male,White,Other weapon
2021,Jul,Aggravated Assault,26,25-29,Male,White,Unarmed
2021,Jun,Aggravated Assault,47,40-49,Male,White,Firearm-related
2021,Jul,Robbery,34,30-39,Female,White,Unarmed
2021,Jun,Aggravated Assault,22,20-24,Male,Black or African American,Unarmed
2021,Nov,Aggravated Assault,28,25-29,Male,Black or African American,Unarmed
2021,Oct,Robbery,23,20-24,Male,Black or African American,Unarmed
2021,Apr,Aggravated Assault,63,50 or above,Male,White,Unarmed
2021,Dec,Aggravated Assault,41,40-49,Male,White,Unarmed
2021,Oct,Aggravated Assault,44,40-49,Male,White,Other weapon
2021,Jun,Aggravated Assault,34,30-39,Male,White,Unarmed
2021,Jul,Aggravated Assault,27,25-29,Male,Black or African American,Firearm-related
2021,Apr,Aggravated Assault,31,30-39,Female,Black or African American,Unarmed
2021,Apr,Aggravated Assault,29,25-29,Male,Black or African American,Unarmed
2021,Feb,Aggravated Assault,47,40-49,Male,White,Unarmed
2021,Dec,Aggravated Assault,37,30-39,Female,Black or African American,Other weapon
2021,Nov,Aggravated Assault,26,25-29,Female,White,Unarmed
2021,Oct,Robbery,27,25-29,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,39,30-39,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,32,30-39,Female,Black or African American,Unarmed
2021,Aug,Aggravated Assault,25,25-29,Male,Black or African American,Other weapon
2021,Apr,Robbery,29,25-29,Male,White,Unarmed
2021,Dec,Aggravated Assault,52,50 or above,Male,White,Unarmed
2021,Nov,Aggravated Assault,25,25-29,Male,White,Unarmed
2021,Oct,Aggravated Assault,24,20-24,Male,White,Unarmed
2021,Jan,Robbery,37,30-39,Male,White,Unarmed
2021,May,Aggravated Assault,53,50 or above,Male,White,Other weapon
2021,Sep,Aggravated Assault,43,40-49,Female,Black or African American,Unarmed
2021,Mar,Aggravated Assault,57,50 or above,Male,White,Unarmed
