year,month,offense,age,age_group,sex,race,weapon
2021,Apr,Aggravated Assault,26,25-29,Male,White,Unarmed
2021,Jul,Aggravated Assault,43,40-49,Male,White,Unarmed
2021,Aug,Robbery,26,25-29,Male,White,Unarmed
2021,Sep,Robbery,28,25-29,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,27,25-29,Male,White,Unarmed
2021,Sep,Aggravated Assault,34,30-39,Male,Black or African American,Unarmed
2021,Nov,Aggravated Assault,21,20-24,Male,White,Other weapon
2021,Dec,Aggravated Assault,21,20-24,Male,White,Unarmed
2021,Dec,Aggravated Assault,47,40-49,Female,Black or African American,Unarmed
2021,Jan,Robbery,23,20-24,Female,White,Unarmed
2021,Jan,Robbery,28,25-29,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,41,40-49,Male,Black or African American,Unarmed
2021,Mar,Aggravated Assault,28,25-29,Male,Black or African American,Firearm-related
2021,Jun,Rape,31,30-39,Female,Black or African American,Unarmed
2021,Nov,Robbery,41,40-49,Male,White,Unarmed
2021,Apr,Aggravated Assault,34,30-39,Male,White,Unarmed
2021,Apr,Aggravated Assault,34,30-39,Male,White,Unarmed
2021,May,Aggravated Assault,50,50 or above,Male,White,Unarmed
2021,May,Rape,29,25-29,Male,White,Unarmed
2021,May,Aggravated Assault,35,30-39,Male,White,Unarmed
2022,Jan,Robbery,29,25-29,Male,Black or African American,Unarmed
2021,May,Aggravated Assault,44,40-49,Male,Black or African American,Other weapon
2021,Jul,Robbery,30,30-39,Male,White,Unarmed
2021,Jul,Robbery,30,30-39,Male,White,Unarmed
2021,Jul,Robbery,30,30-39,Male,White,Unarmed
2021,Nov,Robbery,41,40-49,Male,White,Unarmed
2021,Nov,Robbery,41,40-49,Male,White,Unarmed
2021,Dec,Aggravated Assault,43,40-49,Male,White,Unarmed
2021,Nov,Robbery,41,40-49,Male,White,Unarmed
2021,Aug,Robbery,31,30-39,Male,Black or African American,Unarmed
2021,Sep,Robbery,42,40-49,Male,White,Unarmed
2021,Oct,Aggravated Assault,37,30-39,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,37,30-39,Male,Black or African American,Unarmed
2021,Nov,Aggravated Assault,14,Under 20,Male,White,Unarmed
2021,Jan,Aggravated Assault,38,30-39,Male,White,Unarmed
2021,Jun,Robbery,22,20-24,Male,Black or African American,Unarmed
2021,Jun,Robbery,31,30-39,Male,White,Unarmed
2021,Jul,Aggravated Assault,35,30-39,Male,White,Unarmed
2021,Jun,Robbery,50,50 or above,Female,White,Unarmed
2021,Jul,Aggravated Assault,45,40-49,Male,White,Unarmed
2021,Jul,Aggravated Assault,69,50 or above,Male,White,Unarmed
2021,Sep,Aggravated Assault,25,25-29,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,35,30-39,Male,White,Unarmed
2021,Nov,Aggravated Assault,26,25-29,Male,White,Unarmed
